method,N,fidelity_mean,fidelity_std,infidelity_mean,infidelity_std
RL_adaptive,10,0.8237876692483764,0.170347322889264,0.17621233075162354,0.17034732288926396
RL_adaptive,25,0.8873948961134049,0.15772470651554396,0.11260510388659505,0.1577247065155439
RL_adaptive,50,0.9670550803358178,0.03593239592536498,0.032944919664182136,0.035932395925365
RL_adaptive,100,0.9812404407736074,0.022198671630554355,0.018759559226392664,0.022198671630554362
RL_adaptive,250,0.9948028834900655,0.005499200610339382,0.005197116509934524,0.005499200610339387
RL_adaptive,500,0.9972244114561145,0.0029809754671698105,0.002775588543885582,0.002980975467169812
XYZ_split,10,0.9028400603594343,0.10926648911974801,0.0971599396405657,0.10926648911974804
XYZ_split,25,0.9586769799428696,0.04005384074634075,0.041323020057130434,0.04005384074634074
XYZ_split,50,0.9774469641902811,0.022600704131922517,0.022553035809718975,0.022600704131922503
XYZ_split,100,0.9879302686402598,0.011400068844169631,0.012069731359740205,0.011400068844169626
XYZ_split,250,0.9950912979345427,0.005305001691264241,0.004908702065457289,0.005305001691264248
XYZ_split,500,0.997607838997526,0.002760168638157045,0.002392161002473973,0.0027601686381570436
ZX_split,10,0.8646304132462357,0.13980204881859723,0.13536958675376431,0.1398020488185972
ZX_split,25,0.8970397630481471,0.11449860540975151,0.10296023695185287,0.11449860540975149
ZX_split,50,0.9048026904942418,0.1133630690697747,0.09519730950575819,0.1133630690697747
ZX_split,100,0.9112127601244854,0.1050810580902837,0.08878723987551455,0.10508105809028369
ZX_split,250,0.9141102721784921,0.10288398734267885,0.08588972782150794,0.10288398734267884
ZX_split,500,0.9155786660858501,0.10140336973568977,0.0844213339141498,0.10140336973568981
Z_only,10,0.796567581163068,0.18573915478943875,0.20343241883693203,0.18573915478943878
Z_only,25,0.8020686558685832,0.17661445435756357,0.19793134413141666,0.17661445435756357
Z_only,50,0.8067934048372816,0.1682390917731994,0.19320659516271846,0.16823909177319943
Z_only,100,0.8070501090732201,0.1677682417329955,0.19294989092677992,0.16776824173299548
Z_only,250,0.8086029338734807,0.1648828137133542,0.1913970661265193,0.16488281371335423
Z_only,500,0.8091092738453839,0.16392776995417363,0.19089072615461605,0.16392776995417366
