target_id,seed,N,method,true_theta,true_phi,fidelity,infidelity,z_counts_0,z_counts_1,x_counts_0,x_counts_1,y_counts_0,y_counts_1,reward
0,0,10,Z_only,0.8043287873939364,5.958385528353643,0.8467974547337482,0.15320254526625177,8,2,0,0,0,0,
0,0,10,ZX_split,0.8043287873939364,5.958385528353643,0.9070071937422215,0.0929928062577785,5,0,3,2,0,0,
0,0,10,XYZ_split,0.8043287873939364,5.958385528353643,0.9865939787584116,0.013406021241588406,2,1,2,1,2,2,
0,0,10,RL_adaptive,0.8043287873939364,5.958385528353643,0.9865939787584116,0.013406021241588406,1,0,1,0,4,4,0.9865939787584116
0,0,25,Z_only,0.8043287873939364,5.958385528353643,0.8467974547337482,0.15320254526625177,23,2,0,0,0,0,
0,0,25,ZX_split,0.8043287873939364,5.958385528353643,0.9794341845171457,0.0205658154828543,12,0,11,2,0,0,
0,0,25,XYZ_split,0.8043287873939364,5.958385528353643,0.9658567041345957,0.03414329586540432,6,2,7,1,2,7,
0,0,25,RL_adaptive,0.8043287873939364,5.958385528353643,0.9996246614988692,0.00037533850113080636,1,0,1,0,7,16,0.9996246614988692
0,0,50,Z_only,0.8043287873939364,5.958385528353643,0.8467974547337482,0.15320254526625177,43,7,0,0,0,0,
0,0,50,ZX_split,0.8043287873939364,5.958385528353643,0.9818164750150989,0.018183524984901056,19,6,21,4,0,0,
0,0,50,XYZ_split,0.8043287873939364,5.958385528353643,0.9338366985397646,0.06616330146023541,14,2,15,1,12,6,
0,0,50,RL_adaptive,0.8043287873939364,5.958385528353643,0.9269924332819649,0.0730075667180351,1,0,37,11,0,1,0.9269924332819649
0,0,100,Z_only,0.8043287873939364,5.958385528353643,0.8467974547337482,0.15320254526625177,84,16,0,0,0,0,
0,0,100,ZX_split,0.8043287873939364,5.958385528353643,0.9835868011301,0.016413198869900003,39,11,36,14,0,0,
0,0,100,XYZ_split,0.8043287873939364,5.958385528353643,0.9951083618996954,0.004891638100304574,32,1,28,5,13,21,
0,0,100,RL_adaptive,0.8043287873939364,5.958385528353643,0.9898999182428869,0.010100081757113077,1,0,48,10,13,28,0.9898999182428869
0,0,250,Z_only,0.8043287873939364,5.958385528353643,0.8467974547337482,0.15320254526625177,200,50,0,0,0,0,
0,0,250,ZX_split,0.8043287873939364,5.958385528353643,0.9865939787584116,0.013406021241588406,100,25,100,25,0,0,
0,0,250,XYZ_split,0.8043287873939364,5.958385528353643,0.9865257426876859,0.013474257312314109,70,13,72,11,21,63,
0,0,250,RL_adaptive,0.8043287873939364,5.958385528353643,0.9840271176456564,0.015972882354343576,1,0,201,34,3,11,0.9840271176456564
0,0,500,Z_only,0.8043287873939364,5.958385528353643,0.8467974547337482,0.15320254526625177,420,80,0,0,0,0,
0,0,500,ZX_split,0.8043287873939364,5.958385528353643,0.9856821080197897,0.014317891980210273,217,33,205,45,0,0,
0,0,500,XYZ_split,0.8043287873939364,5.958385528353643,0.9932343288339592,0.006765671166040765,136,30,137,29,52,116,
0,0,500,RL_adaptive,0.8043287873939364,5.958385528353643,0.9901793496624047,0.009820650337595271,1,0,166,31,126,176,0.9901793496624047
0,1,10,Z_only,0.8043287873939364,5.958385528353643,0.8467974547337482,0.15320254526625177,8,2,0,0,0,0,
0,1,10,ZX_split,0.8043287873939364,5.958385528353643,0.9865939787584116,0.013406021241588406,5,0,5,0,0,0,
