method,N,fidelity_mean,fidelity_std,fidelity_count,infidelity_mean,infidelity_std,fidelity_ci95
ORACLE_plane,10,0.932736297222387,0.07848504472603664,250,0.06726370277761293,0.07848504472603668,0.0097291069409029
ORACLE_plane,25,0.9747951201941144,0.027527755129690176,250,0.025204879805885597,0.027527755129690176,0.0034123758791832263
ORACLE_plane,50,0.9869130086756507,0.014349722384359947,250,0.013086991324349302,0.014349722384359949,0.00177881001580664
ORACLE_plane,100,0.993495213930033,0.007485615398437299,250,0.006504786069966984,0.007485615398437295,0.0009279264984059552
ORACLE_plane,250,0.9976521856778987,0.00247527541675326,250,0.0023478143221013115,0.0024752754167532416,0.0003068383196039821
ORACLE_plane,500,0.9987169158975395,0.0012723884083385014,250,0.0012830841024604753,0.0012723884083384908,0.00015772690119884495
RL_adaptive,10,0.8072615798311219,0.13611705394744714,250,0.19273842016887807,0.13611705394744714,0.01687324481954509
RL_adaptive,25,0.8943234693924567,0.0756734470168774,250,0.10567653060754337,0.07567344701687737,0.009380577678000749
RL_adaptive,50,0.9349833038523501,0.0530600445277549,250,0.06501669614764984,0.05306004452775489,0.0065773912635402245
RL_adaptive,100,0.9623320737501893,0.02811451935076013,250,0.03766792624981079,0.028114519350760134,0.00348511192559579
RL_adaptive,250,0.9837833866643337,0.015319074042322245,250,0.01621661333566626,0.01531907404232224,0.001898972092245237
RL_adaptive,500,0.9911283304380336,0.008358215456882593,250,0.008871669561966418,0.008358215456882593,0.0010360951223124155
XYZ_split,10,0.804736880856362,0.12994552346439928,250,0.19526311914363803,0.12994552346439928,0.016108213974901947
XYZ_split,25,0.9147702216782169,0.06300919014303126,250,0.08522977832178315,0.06300919014303122,0.007810700131484689
XYZ_split,50,0.9505050170672057,0.03686505358755172,250,0.049494982932794265,0.036865053587551704,0.004569839387712338
XYZ_split,100,0.9744617112585854,0.016470693064462694,250,0.025538288741414623,0.0164706930644627,0.002041728265229433
XYZ_split,250,0.9896595059921427,0.007976623861207626,250,0.010340494007857222,0.007976623861207616,0.0009887925380426264
XYZ_split,500,0.9948711142943605,0.0035677547798346016,250,0.005128885705639539,0.003567754779834604,0.0004422634644994127
ZX_split,10,0.6649604828702573,0.19975268567578452,250,0.3350395171297427,0.19975268567578452,0.02476159945446985
ZX_split,25,0.7258352311996771,0.1876229336688005,250,0.27416476880032287,0.18762293366880048,0.02325797981770318
ZX_split,50,0.7458517086832426,0.181265381828475,250,0.2541482913167575,0.18126538182847501,0.022469889526708645
ZX_split,100,0.7604967394326346,0.1718790125690723,250,0.23950326056736532,0.17187901256907226,0.021306343138599915
ZX_split,250,0.766405007177611,0.17015834340847968,250,0.23359499282238905,0.17015834340847968,0.02109304677963427
ZX_split,500,0.7684644713662756,0.16927387082253406,250,0.2315355286337244,0.1692738708225341,0.02098340642197124
Z_only,10,0.5193962585707872,0.2319562848963092,250,0.48060374142921286,0.2319562848963092,0.028753598972239426
Z_only,25,0.5275732302225237,0.2276119375625317,250,0.4724267697774764,0.22761193756253162,0.028215068097392052
Z_only,50,0.5311900671106627,0.22557552154171612,250,0.4688099328893373,0.22557552154171603,0.027962631352126236
Z_only,100,0.5311900671106627,0.22557552154171612,250,0.4688099328893373,0.22557552154171603,0.027962631352126236
Z_only,250,0.5311900671106627,0.22557552154171612,250,0.4688099328893373,0.22557552154171606,0.027962631352126236
Z_only,500,0.5311900671106627,0.22557552154171615,250,0.4688099328893373,0.22557552154171606,0.02796263135212624
